pair,gene,gene_name,log2fc,cav_r
neutrophil__breast__normal_vs_breast_cancer,ENSG00000196735,HLA-DQA1,0.6803305991355192,0.4910685340055551
neutrophil__breast__normal_vs_breast_cancer,ENSG00000197249,SERPINA1,0.6754609890211771,0.2301427574475619
neutrophil__breast__normal_vs_breast_cancer,ENSG00000171051,FPR1,0.6742581795336802,0.2887984040078792
neutrophil__breast__normal_vs_breast_cancer,ENSG00000125148,MT2A,0.6710629749590517,0.2032581411256115
neutrophil__breast__normal_vs_breast_cancer,ENSG00000183255,PTTG1IP,0.6698390396457394,0.3862043500261347
neutrophil__breast__normal_vs_breast_cancer,ENSG00000198712,MT-CO2,0.6689279440963689,0.227108203178203
neutrophil__breast__normal_vs_breast_cancer,ENSG00000130775,THEMIS2,0.6685765672295824,0.3020678163862106
neutrophil__breast__normal_vs_breast_cancer,ENSG00000204252,HLA-DOA,0.6685298895713163,0.4604961467863079
neutrophil__breast__normal_vs_breast_cancer,ENSG00000141480,ARRB2,0.6628342691128265,0.2466081036192886
neutrophil__breast__normal_vs_breast_cancer,ENSG00000105374,NKG7,-0.6600877060296219,-0.0372511741990647
neutrophil__breast__normal_vs_breast_cancer,ENSG00000163346,PBXIP1,-0.6582514231968775,-0.1418371985448511
neutrophil__breast__normal_vs_breast_cancer,ENSG00000118855,MFSD1,0.6580678790374298,0.384497614646134
neutrophil__breast__normal_vs_breast_cancer,ENSG00000185896,LAMP1,0.6572803576236281,0.2537655241544893
neutrophil__breast__normal_vs_breast_cancer,ENSG00000091317,CMTM6,0.6555400453085897,0.2995616026694398
neutrophil__breast__normal_vs_breast_cancer,ENSG00000111276,CDKN1B,-0.6515684311654427,-0.1076605705713423
neutrophil__breast__normal_vs_breast_cancer,ENSG00000110446,SLC15A3,0.649770771912993,0.4252962652871405
neutrophil__breast__normal_vs_breast_cancer,ENSG00000135486,HNRNPA1,-0.6477887299463874,0.0780033953141618
neutrophil__breast__normal_vs_breast_cancer,ENSG00000081059,TCF7,-0.6474324636893088,-0.2439950913054588
neutrophil__breast__normal_vs_breast_cancer,ENSG00000114353,GNAI2,0.6473810111257746,0.2791189453627443
neutrophil__breast__normal_vs_breast_cancer,ENSG00000178695,KCTD12,0.6472499356816775,0.4145279012860715
neutrophil__breast__normal_vs_breast_cancer,ENSG00000125740,FOSB,0.6407827278112301,0.156910336281394
neutrophil__breast__normal_vs_breast_cancer,ENSG00000198918,RPL39,-0.6402285296103962,-0.0350211883469607
neutrophil__breast__normal_vs_breast_cancer,ENSG00000187514,PTMA,0.6388150884380903,0.1769592908135047
neutrophil__breast__normal_vs_breast_cancer,ENSG00000103811,CTSH,0.6372991283839737,0.5050700703525594
neutrophil__breast__normal_vs_breast_cancer,ENSG00000237541,HLA-DQA2,0.6367683999177032,0.450694186777335
neutrophil__breast__normal_vs_breast_cancer,ENSG00000111275,ALDH2,0.634424960864621,0.4251130776758499
neutrophil__breast__normal_vs_breast_cancer,ENSG00000010610,CD4,0.6327516490633253,0.2806665390122774
neutrophil__breast__normal_vs_breast_cancer,ENSG00000213741,RPS29,-0.6324768941867834,-0.3225544061003275
neutrophil__breast__normal_vs_breast_cancer,ENSG00000167613,LAIR1,0.6310861384055158,0.3323456022392418
neutrophil__breast__normal_vs_breast_cancer,ENSG00000105223,PLD3,0.6309721324082432,0.4288468066461444
neutrophil__breast__normal_vs_breast_cancer,ENSG00000117091,CD48,-0.6301764637999394,-0.1667225900430588
neutrophil__breast__normal_vs_breast_cancer,ENSG00000166340,TPP1,0.6294114405021912,0.3878686670604827
neutrophil__breast__normal_vs_breast_cancer,ENSG00000064601,CTSA,0.6285123536887279,0.2613168438672225
neutrophil__breast__normal_vs_breast_cancer,ENSG00000172543,CTSW,-0.6275343250465049,-0.1102779913397369
neutrophil__breast__normal_vs_breast_cancer,ENSG00000143851,PTPN7,-0.6253022340025174,-0.0501606460783603
neutrophil__breast__normal_vs_breast_cancer,ENSG00000250479,CHCHD10,0.6232924318871028,0.2781923132123534
neutrophil__breast__normal_vs_breast_cancer,ENSG00000188243,COMMD6,-0.6225754321613044,0.0262360199676276
neutrophil__breast__normal_vs_breast_cancer,ENSG00000168461,RAB31,0.6207689509510924,0.3667521693034334
