pair,gene,gene_name,r,rank,l2_score,expr_scaled
neutrophil__breast__normal_vs_breast_cancer,ENSG00000204287,HLA-DRA,0.766139174253121,0,3.4159,0.0
neutrophil__breast__normal_vs_breast_cancer,ENSG00000204287,HLA-DRA,0.766139174253121,0,3.3639,0.0
neutrophil__breast__normal_vs_breast_cancer,ENSG00000204287,HLA-DRA,0.766139174253121,0,3.102,0.0
neutrophil__breast__normal_vs_breast_cancer,ENSG00000204287,HLA-DRA,0.766139174253121,0,2.4422,0.3282951
neutrophil__breast__normal_vs_breast_cancer,ENSG00000204287,HLA-DRA,0.766139174253121,0,2.2931,0.4740555
neutrophil__breast__normal_vs_breast_cancer,ENSG00000204287,HLA-DRA,0.766139174253121,0,1.8663,0.0
neutrophil__breast__normal_vs_breast_cancer,ENSG00000204287,HLA-DRA,0.766139174253121,0,2.3617,0.51379615
neutrophil__breast__normal_vs_breast_cancer,ENSG00000204287,HLA-DRA,0.766139174253121,0,4.4141,0.30685943
neutrophil__breast__normal_vs_breast_cancer,ENSG00000204287,HLA-DRA,0.766139174253121,0,4.7297,0.4220682
neutrophil__breast__normal_vs_breast_cancer,ENSG00000204287,HLA-DRA,0.766139174253121,0,4.1232,0.35215002
neutrophil__breast__normal_vs_breast_cancer,ENSG00000204287,HLA-DRA,0.766139174253121,0,3.1793,0.33144733
neutrophil__breast__normal_vs_breast_cancer,ENSG00000204287,HLA-DRA,0.766139174253121,0,2.8452,0.0
neutrophil__breast__normal_vs_breast_cancer,ENSG00000204287,HLA-DRA,0.766139174253121,0,4.7311,0.0
neutrophil__breast__normal_vs_breast_cancer,ENSG00000204287,HLA-DRA,0.766139174253121,0,3.8359,0.46689668
neutrophil__breast__normal_vs_breast_cancer,ENSG00000204287,HLA-DRA,0.766139174253121,0,3.5287,0.35493103
neutrophil__breast__normal_vs_breast_cancer,ENSG00000204287,HLA-DRA,0.766139174253121,0,4.4421,0.0
neutrophil__breast__normal_vs_breast_cancer,ENSG00000204287,HLA-DRA,0.766139174253121,0,7.4031,0.996385
neutrophil__breast__normal_vs_breast_cancer,ENSG00000204287,HLA-DRA,0.766139174253121,0,8.4128,0.9587919
neutrophil__breast__normal_vs_breast_cancer,ENSG00000204287,HLA-DRA,0.766139174253121,0,5.0136,0.9033287
neutrophil__breast__normal_vs_breast_cancer,ENSG00000204287,HLA-DRA,0.766139174253121,0,7.4161,0.87114453
neutrophil__breast__normal_vs_breast_cancer,ENSG00000204287,HLA-DRA,0.766139174253121,0,7.5696,0.93362963
neutrophil__breast__normal_vs_breast_cancer,ENSG00000204287,HLA-DRA,0.766139174253121,0,4.6287,0.7401265
neutrophil__breast__normal_vs_breast_cancer,ENSG00000204287,HLA-DRA,0.766139174253121,0,5.8601,0.92694324
neutrophil__breast__normal_vs_breast_cancer,ENSG00000204287,HLA-DRA,0.766139174253121,0,5.64,0.83805186
neutrophil__breast__normal_vs_breast_cancer,ENSG00000204287,HLA-DRA,0.766139174253121,0,6.5795,0.9293956
neutrophil__breast__normal_vs_breast_cancer,ENSG00000204287,HLA-DRA,0.766139174253121,0,5.1489,0.8822432
neutrophil__breast__normal_vs_breast_cancer,ENSG00000204287,HLA-DRA,0.766139174253121,0,7.0455,0.87062144
neutrophil__breast__normal_vs_breast_cancer,ENSG00000204287,HLA-DRA,0.766139174253121,0,5.8978,1.0
neutrophil__breast__normal_vs_breast_cancer,ENSG00000204287,HLA-DRA,0.766139174253121,0,8.1916,0.90718234
neutrophil__breast__normal_vs_breast_cancer,ENSG00000204287,HLA-DRA,0.766139174253121,0,7.2164,0.96198577
neutrophil__breast__normal_vs_breast_cancer,ENSG00000204287,HLA-DRA,0.766139174253121,0,5.8396,0.89357674
neutrophil__breast__normal_vs_breast_cancer,ENSG00000204287,HLA-DRA,0.766139174253121,0,6.0557,0.8787467
neutrophil__breast__normal_vs_breast_cancer,ENSG00000204287,HLA-DRA,0.766139174253121,0,6.3027,0.9853237
neutrophil__breast__normal_vs_breast_cancer,ENSG00000204287,HLA-DRA,0.766139174253121,0,6.5073,0.8804703
