pair,l2_score,is_baseline
epithelial_cell__lung10x__normal_vs_lung_cancer,2.379702,False
epithelial_cell__lung10x__normal_vs_lung_cancer,5.0050254,False
epithelial_cell__lung10x__normal_vs_lung_cancer,6.507687,False
epithelial_cell__lung10x__normal_vs_lung_cancer,3.139169,False
epithelial_cell__lung10x__normal_vs_lung_cancer,4.50245,False
epithelial_cell__lung10x__normal_vs_lung_cancer,2.737174,False
epithelial_cell__lung10x__normal_vs_lung_cancer,2.4384267,False
epithelial_cell__lung10x__normal_vs_lung_cancer,5.727672,False
epithelial_cell__lung10x__normal_vs_lung_cancer,3.4311986,False
epithelial_cell__lung10x__normal_vs_lung_cancer,3.8952532,False
epithelial_cell__lung10x__normal_vs_lung_cancer,3.3827891,False
epithelial_cell__lung10x__normal_vs_lung_cancer,6.7829933,False
